Класс,Специализация,Роль,Классовые бафы,Сопротивления класса,Классовые дебафы,Эффекты спека: buffs[],Эффекты спека: debuffs[],Итоговые бафы по UI,Итоговые дебафы по UI,Источник
Barbarian,Ancestry,Саппорт,Strength; Agility; Attack Power; Concentration,—,—,Armor; Heroism | Bloodlust; Resistance Reduction,—,Strength; Agility; Attack Power; Concentration; Armor; Heroism | Bloodlust,Resistance Reduction,https://coa-raid-comp.ascension.gg/
Barbarian,Brutality,Мили-DPS,Strength; Agility; Attack Power; Concentration,—,—,5% Attack Power,4% Physical Damage; 30% Bleed Damage; Armor Reduction,Strength; Agility; Attack Power; Concentration; 5% Attack Power,4% Physical Damage; 30% Bleed Damage; Armor Reduction,https://coa-raid-comp.ascension.gg/
Barbarian,Headhunting,Рейндж/кастер,Strength; Agility; Attack Power; Concentration,—,—,3% Critical Strike (all); 5% Attack Power,30% Bleed Damage; Healing Reduction,Strength; Agility; Attack Power; Concentration; 3% Critical Strike (all); 5% Attack Power,30% Bleed Damage; Healing Reduction,https://coa-raid-comp.ascension.gg/
Witch Doctor,Shadowhunting,Рейндж/кастер,Small Resistances (all); Intellect; Spirit; Mana Regeneration; 5% Resource Reduction,—,Cast Speed Slow,10% Melee & Range Haste; 3% Spell Haste; 5% Attack Power,Resistance Reduction,Small Resistances (all); Intellect; Spirit; Mana Regeneration; 5% Resource Reduction; 10% Melee & Range Haste; 3% Spell Haste; 5% Attack Power,Cast Speed Slow; Resistance Reduction,https://coa-raid-comp.ascension.gg/
Witch Doctor,Voodoo,Рейндж/кастер,Small Resistances (all); Intellect; Spirit; Mana Regeneration; 5% Resource Reduction,—,Cast Speed Slow,3% Spell Haste; 3% Damage Done (all),Attack Speed Slow; Resistance Reduction,Small Resistances (all); Intellect; Spirit; Mana Regeneration; 5% Resource Reduction; 3% Spell Haste; 3% Damage Done (all),Cast Speed Slow; Attack Speed Slow; Resistance Reduction,https://coa-raid-comp.ascension.gg/
Witch Doctor,Brewing,Хилер,Small Resistances (all); Intellect; Spirit; Mana Regeneration; 5% Resource Reduction,—,Cast Speed Slow,3% Spell Haste; Replenishment,Attack Power Reduction; Resistance Reduction,Small Resistances (all); Intellect; Spirit; Mana Regeneration; 5% Resource Reduction; 3% Spell Haste; Replenishment,Cast Speed Slow; Attack Power Reduction; Resistance Reduction,https://coa-raid-comp.ascension.gg/
Felsworn,Infernal,Рейндж/кастер,Minor Armor and All Stats; Attack Power,Fire Resistance; Shadow Resistance,—,3% Critical Strike (all); Damage Done Reduction (5%),3% Spell Hit; 10% Spell Damage,Minor Armor and All Stats; Attack Power; Fire Resistance; Shadow Resistance; 3% Critical Strike (all),Damage Done Reduction (5%); 3% Spell Hit; 10% Spell Damage,https://coa-raid-comp.ascension.gg/
Felsworn,Tyrant,Танк,Minor Armor and All Stats; Attack Power,Fire Resistance; Shadow Resistance,—,10% Melee & Range Haste; 3% Damage Done (all); Defensive Cooldown (Raid-Wide),4% Physical Damage; Attack Power Reduction; Attack Speed Slow; Damage Done Reduction (5%),Minor Armor and All Stats; Attack Power; Fire Resistance; Shadow Resistance; 10% Melee & Range Haste; 3% Damage Done (all); Defensive Cooldown (Raid-Wide),4% Physical Damage; Attack Power Reduction; Attack Speed Slow; Damage Done Reduction (5%),https://coa-raid-comp.ascension.gg/
Felsworn,Slaying,Мили-DPS,Minor Armor and All Stats; Attack Power,Fire Resistance; Shadow Resistance,—,10% Melee & Range Haste; Armor,Healing Reduction; Cast Speed Slow; Armor Reduction; Damage Done Reduction (5%),Minor Armor and All Stats; Attack Power; Fire Resistance; Shadow Resistance; 10% Melee & Range Haste; Armor,Healing Reduction; Cast Speed Slow; Armor Reduction; Damage Done Reduction (5%),https://coa-raid-comp.ascension.gg/
Witch Hunter,Inquisition,Мили-DPS,Minor Armor and All Stats; Attack Power; Mana Regeneration,Shadow Resistance,—,10% Melee & Range Haste,Cast Speed Slow; Damage Done Reduction (5%),Minor Armor and All Stats; Attack Power; Mana Regeneration; Shadow Resistance; 10% Melee & Range Haste,Cast Speed Slow; Damage Done Reduction (5%),https://coa-raid-comp.ascension.gg/
