Категория,Эффект,Приоритет,В рейде,Статус,Спеков-источников,Классов-источников,Роли,Все источники,Ключ базы,Источник
Физические бафы,10% Stats,Критично,0,НЕ ХВАТАЕТ,14,4,"Мили-DPS, Рейндж/кастер, Танк, Хилер",Cultist — Heretic; Cultist — Dreadnought; Cultist — Corruption; Cultist — Godblade; Sun Cleric — Blessings; Sun Cleric — Valkyrie; Sun Cleric — Piety; Sun Cleric — Seraphim; Templar — Zealot; Templar — Crusader; Templar — Oathkeeper; Runemaster — Glyphic; Runemaster — Riftblade; Runemaster — Engravement,Stats % (Kings),https://coa-raid-comp.ascension.gg/
Физические бафы,Minor Armor and All Stats,Важно,0,НЕ ХВАТАЕТ,18,5,"Мили-DPS, Рейндж/кастер, Саппорт, Танк, Хилер",Felsworn — Infernal; Felsworn — Tyrant; Felsworn — Slaying; Witch Hunter — Inquisition; Witch Hunter — Houndmaster; Witch Hunter — Black Knight; Witch Hunter — Boltslinger; Primalist — Wildwalker; Primalist — Mountain King; Primalist — Geomancy; Primalist — Grovekeeper; Ranger — Brigand; Ranger — Archery; Ranger — Farstrider; Venomancer — Stalking; Venomancer — Vizier; Venomancer — Fortitude; Venomancer — Rot,Stats Flat + Armor (MotW),https://coa-raid-comp.ascension.gg/
Физические бафы,Stamina,Важно,0,НЕ ХВАТАЕТ,13,4,"Мили-DPS, Рейндж/кастер, Саппорт, Танк",Knight of Xoroth — Hellfire; Knight of Xoroth — War; Knight of Xoroth — Defiance; Bloodmage — Sanguine; Bloodmage — Fleshweaver; Bloodmage — Accursed; Bloodmage — Eternal; Reaper — Soul; Reaper — Harvest; Reaper — Domination; Necromancer — Animation; Necromancer — Death; Necromancer — Rime,Stamina (Fort),https://coa-raid-comp.ascension.gg/
Физические бафы,Strength,Важно,0,НЕ ХВАТАЕТ,12,4,"Мили-DPS, Рейндж/кастер, Саппорт, Танк",Barbarian — Ancestry; Barbarian — Brutality; Barbarian — Headhunting; Knight of Xoroth — Hellfire; Knight of Xoroth — War; Knight of Xoroth — Defiance; Guardian — Vanguard; Guardian — Gladiator; Guardian — Inspiration; Reaper — Soul; Reaper — Harvest; Reaper — Domination,Flat Strength,https://coa-raid-comp.ascension.gg/
Физические бафы,Agility,Важно,0,НЕ ХВАТАЕТ,20,6,"Мили-DPS, Рейндж/кастер, Саппорт, Танк, Хилер",Barbarian — Ancestry; Barbarian — Brutality; Barbarian — Headhunting; Templar — Zealot; Templar — Crusader; Templar — Oathkeeper; Primalist — Wildwalker; Primalist — Mountain King; Primalist — Geomancy; Primalist — Grovekeeper; Ranger — Brigand; Ranger — Archery; Ranger — Farstrider; Runemaster — Glyphic; Runemaster — Riftblade; Runemaster — Engravement; Venomancer — Stalking; Venomancer — Vizier; Venomancer — Fortitude; Venomancer — Rot,Flat Agility,https://coa-raid-comp.ascension.gg/
Физические бафы,Attack Power,Важно,0,НЕ ХВАТАЕТ,17,5,"Мили-DPS, Рейндж/кастер, Саппорт, Танк, Хилер",Barbarian — Ancestry; Barbarian — Brutality; Barbarian — Headhunting; Felsworn — Infernal; Felsworn — Tyrant; Felsworn — Slaying; Witch Hunter — Inquisition; Witch Hunter — Houndmaster; Witch Hunter — Black Knight; Witch Hunter — Boltslinger; Sun Cleric — Blessings; Sun Cleric — Valkyrie; Sun Cleric — Piety; Sun Cleric — Seraphim; Tinker — Demolition; Tinker — Mechanics; Tinker — Invention,AP Flat (Shout),https://coa-raid-comp.ascension.gg/
Физические бафы,5% Attack Power,Критично,0,НЕ ХВАТАЕТ,10,9,"Мили-DPS, Рейндж/кастер, Танк",Barbarian — Brutality; Barbarian — Headhunting; Witch Doctor — Shadowhunting; Witch Hunter — Houndmaster; Knight of Xoroth — Hellfire; Guardian — Gladiator; Templar — Oathkeeper; Primalist — Wildwalker; Bloodmage — Eternal; Tinker — Demolition,Attack Power %,https://coa-raid-comp.ascension.gg/
Физические бафы,10% Melee & Range Haste,Критично,0,НЕ ХВАТАЕТ,11,8,"Мили-DPS, Рейндж/кастер, Саппорт, Танк",Witch Doctor — Shadowhunting; Felsworn — Tyrant; Felsworn — Slaying; Witch Hunter — Inquisition; Starcaller — Sentinel; Templar — Zealot; Ranger — Brigand; Ranger — Archery; Ranger — Farstrider; Runemaster — Engravement; Tinker — Mechanics,Melee/Range Haste (10%),https://coa-raid-comp.ascension.gg/
Кастерские бафы,Intellect,Важно,0,НЕ ХВАТАЕТ,23,7,"Мили-DPS, Рейндж/кастер, Саппорт, Танк, Хилер",Witch Doctor — Shadowhunting; Witch Doctor — Voodoo; Witch Doctor — Brewing; Stormbringer — Maelstrom; Stormbringer — Lightning; Stormbringer — Wind; Cultist — Heretic; Cultist — Dreadnought; Cultist — Corruption; Cultist — Godblade; Knight of Xoroth — Hellfire; Knight of Xoroth — War; Knight of Xoroth — Defiance; Starcaller — Moon Priest; Starcaller — Warden; Starcaller — Sentinel; Starcaller — Moon Guard; Pyromancer — Flameweaving; Pyromancer — Draconic; Pyromancer — Incineration; Chronomancer — Time; Chronomancer — Infinite; Chronomancer — Artificer,Flat Intellect,https://coa-raid-comp.ascension.gg/
Кастерские бафы,Spirit,Важно,0,НЕ ХВАТАЕТ,21,6,"Мили-DPS, Рейндж/кастер, Саппорт, Танк, Хилер",Witch Doctor — Shadowhunting; Witch Doctor — Voodoo; Witch Doctor — Brewing; Cultist — Heretic; Cultist — Dreadnought; Cultist — Corruption; Cultist — Godblade; Primalist — Wildwalker; Primalist — Mountain King; Primalist — Geomancy; Primalist — Grovekeeper; Pyromancer — Flameweaving; Pyromancer — Draconic; Pyromancer — Incineration; Chronomancer — Time; Chronomancer — Infinite; Chronomancer — Artificer; Venomancer — Stalking; Venomancer — Vizier; Venomancer — Fortitude; Venomancer — Rot,Flat Spirit,https://coa-raid-comp.ascension.gg/
